term,coef,se_white_hc1,p,ci_low_95,ci_high_95,stars
const,7.238063566312103,0.5403686743213788,0.0,6.17532703489554,8.300800097728667,***
lag_anxiety,-0.03296435262119471,0.054830895771173616,0.5480913329408281,-0.1407996116866827,0.07487090644429327,
lag_is_commercial,0.11282593088766787,0.18783298696498288,0.5484431460629189,-0.2565829311331871,0.4822347929085229,
lag_ln_view,0.1859742072302889,0.05974427379147997,0.0020038009837504145,0.06847586708150842,0.30347254737906937,***
anxiety_score,0.1083701089507323,0.062224634453524365,0.08244798685679045,-0.014006326490958204,0.23074654439242281,*
is_commercial,0.12673232010438643,0.17732305216563646,0.47526709105458087,-0.22200678035396018,0.47547142056273306,
