cluster_kmeans,n,follower_count_mean_log1p,anxiety_score_mean,view_mean_log1p,collect_like_ratio_mean,ces_total_mean_log1p,video_cpe_calc_mean_log1p,note_quote_mean_log1p,cluster_label
0,10,10.841170393987024,1.6199999999999999,9.13159853737371,0.34689922697850345,7.018048269340627,2.4611737458941176,9.093694343694235,均衡全能型博主
1,18,11.159587824060349,2.488888888888889,10.509631130102441,0.47022470270299216,8.285230210717536,1.3845234347192121,9.135877139073985,均衡全能型博主
2,7,10.4676996951347,1.9000000000000001,10.45170822127201,0.44308780578901036,8.45525361544792,0.3383593333026442,7.119914163701732,均衡全能型博主
3,5,11.27593561684147,1.42,12.08607106024564,0.7239603892136597,9.662755509956755,0.7038766548318708,9.35461972299223,均衡全能型博主
