anxiety_score,mean_view_noncommercial,mean_view_commercial,drop_pct
0,135176.55263157896,59209.142857142855,56.19865893568375
1,42126.945054945056,41206.90566037736,2.1839689380934595
3,62364.74157303371,39966.64705882353,35.914675422779325
5,104661.69696969698,23490.29411764706,77.55597816797459
