anxiety_level,action,per_1000_view
0,like,68.3200469787249
0,collect,11.400582671591192
0,comments,1.0071284916694447
0,share,3.8346825734980827
1,like,52.62568387830331
1,collect,29.051678781849926
1,comments,2.2279949972729622
1,share,3.9532910412565445
3,like,49.61086533098091
3,collect,33.14902129609827
3,comments,1.1289062865466446
3,share,3.5694891432211397
5,like,45.905307602491554
5,collect,22.17628026371007
5,comments,1.4061146001565983
5,share,2.9194136465783638
