term,coef,se_hc1,t,p,ci_low_95,ci_high_95
Intercept,4.697495230928141,0.07775696075907712,60.41253651210601,0.0,4.545094388293055,4.849896073563226
C(high_or_low)[T.low],0.02838159820841646,0.06854848783434252,0.41403682422586413,0.6788471386177157,-0.10597096914157692,0.16273416555840983
anxiety_score,-0.015460326659659338,0.06921868668054411,-0.2233548106887862,0.8232593717615262,-0.15112645961068816,0.12020580629136947
anxiety_sq,0.005309232779718707,0.013260329677938231,0.40038467433821806,0.6888732104380204,-0.02068053581216784,0.03129900137160525
is_commercial,0.12055174748680031,0.08156319506129638,1.4780164925638735,0.13940336387752802,-0.03930917729735578,0.2804126722709564
