term,coef,se_hc1,t,p,ci_low_95,ci_high_95
Intercept,0.5812699585630037,0.07444116480537973,7.8084479210217355,5.789650847310395e-15,0.4353679565772488,0.7271719605487585
lag_anxiety_score,-0.13531989153013457,0.07161836665472118,-1.889457940063397,0.05883049350423099,-0.27568931080497244,0.005049527744703297
lag_anxiety_sq,0.0197220817766308,0.012537600332276334,1.573034811602584,0.11571075777795288,-0.00485116332718823,0.044295326880449834
is_commercial,0.08105396520176462,0.05925048060522957,1.3679883162772293,0.17131573332024919,-0.03507484285117432,0.19718277325470357
