term,coef,se_hc1,t,p,ci_low_95,ci_high_95
Intercept,0.585243252331904,0.07661452180585542,7.638803173828276,2.192501727338684e-14,0.43508154889966877,0.7354049557641392
anxiety_score,-0.14705027874030177,0.07305707961392371,-2.012813535900988,0.0441342493756197,-0.29023952359926763,-0.003861033881335907
anxiety_sq,0.02208871048742654,0.012521621356437949,1.7640455543778049,0.07772430987932061,-0.002453216399239417,0.046630637374092496
is_commercial,0.08659182941306427,0.059873595068065215,1.4462440298536503,0.1481087681576446,-0.030758260545278554,0.2039419193714071
