term,coef,se_hc1,t,p,ci_low_95,ci_high_95
Intercept,4.740007940558362,0.07222474246303584,65.62858902521207,0.0,4.598450046538131,4.881565834578593
C(high_or_low)[T.low],0.009535249610184704,0.0668785339716489,0.14257563741195164,0.8866253394099731,-0.12154426831308565,0.14061476753345506
lag_anxiety_score,-0.0008743009078427538,0.07712560746917038,-0.011336065109013766,0.990955322386128,-0.1520377138331901,0.15028911201750456
lag_anxiety_sq,-0.0038004670789162157,0.014334855458332924,-0.26512071153860045,0.790916472567077,-0.031896267500836156,0.024295333343003725
is_commercial,0.11550410829785693,0.08081001436089318,1.4293291396041807,0.1529096544839122,-0.04288060943965824,0.2738888260353721
